iter	Passed	Remaining
0	164	163982
1	171	85471
2	177	59008
3	184	46031
4	190	37814
5	195	32429
6	200	28418
7	204	25333
8	209	23016
9	213	21152
10	217	19558
11	222	18281
12	226	17214
13	231	16276
14	235	15475
15	240	14769
16	245	14192
17	251	13699
18	256	13235
19	261	12804
20	266	12405
21	270	12022
22	274	11645
23	278	11312
24	283	11058
25	288	10789
26	291	10519
27	296	10283
28	300	10067
29	305	9871
30	310	9695
31	314	9521
32	318	9333
33	322	9166
34	327	9021
35	330	8863
36	334	8710
37	339	8582
38	343	8466
39	347	8334
40	351	8216
41	356	8128
42	360	8029
43	364	7922
44	369	7843
45	373	7736
46	377	7645
47	381	7561
48	385	7490
49	389	7401
50	392	7302
51	395	7207
52	399	7139
53	403	7066
54	406	6981
55	409	6898
56	413	6838
57	417	6783
58	420	6713
59	423	6640
60	428	6589
61	432	6544
62	435	6479
63	438	6414
64	443	6382
65	448	6345
66	453	6312
67	457	6276
68	462	6239
69	465	6188
70	468	6133
71	472	6094
72	477	6057
73	480	6015
74	484	5978
75	489	5947
76	492	5908
77	496	5870
78	500	5831
79	505	5807
80	509	5778
81	512	5739
82	514	5680
83	518	5653
84	522	5625
85	525	5587
86	528	5549
87	533	5527
88	537	5504
89	540	5468
90	543	5430
91	547	5406
92	551	5377
93	554	5349
94	558	5315
95	562	5294
96	566	5277
97	570	5253
98	574	5224
99	578	5204
100	582	5182
101	585	5156
102	588	5127
103	593	5109
104	596	5087
105	600	5061
106	603	5033
107	607	5020
108	612	5003
109	615	4980
110	619	4961
111	624	4950
112	628	4932
113	631	4909
114	635	4891
115	639	4875
116	642	4847
117	645	4823
118	648	4802
119	652	4787
120	656	4768
121	658	4741
122	661	4718
123	665	4703
124	669	4686
125	672	4664
126	674	4639
127	678	4619
128	682	4610
129	686	4596
130	690	4577
131	693	4557
132	697	4545
133	700	4527
134	703	4507
135	706	4486
136	709	4471
137	712	4452
138	715	4434
139	718	4414
140	721	4394
141	723	4372
142	726	4354
143	729	4335
144	732	4317
145	735	4300
146	738	4286
147	742	4272
148	745	4255
149	748	4242
150	751	4227
151	756	4218
152	759	4206
153	763	4195
154	767	4181
155	771	4174
156	774	4159
157	777	4144
158	780	4128
159	784	4116
160	787	4101
161	790	4088
162	794	4077
163	798	4069
164	802	4060
165	806	4050
166	810	4041
167	815	4036
168	819	4030
169	823	4020
170	827	4011
171	831	4003
172	836	3996
173	840	3990
174	845	3986
175	849	3977
176	853	3967
177	857	3960
178	862	3955
179	866	3949
180	871	3942
181	876	3937
182	880	3932
183	884	3924
184	888	3915
185	893	3909
186	897	3903
187	901	3893
188	906	3889
189	911	3884
190	914	3875
191	919	3868
192	924	3864
193	927	3855
194	932	3849
195	937	3844
196	941	3836
197	944	3826
198	948	3818
199	953	3812
200	956	3800
201	958	3787
202	961	3776
203	966	3769
204	970	3762
205	973	3754
206	978	3748
207	983	3743
208	987	3738
209	992	3733
210	997	3730
211	1001	3723
212	1006	3718
213	1012	3719
214	1017	3715
215	1022	3712
216	1027	3708
217	1032	3703
218	1036	3697
219	1041	3693
220	1045	3685
221	1049	3677
222	1053	3670
223	1058	3665
224	1061	3657
225	1064	3647
226	1069	3641
227	1073	3633
228	1076	3624
229	1079	3614
230	1083	3606
231	1087	3600
232	1091	3591
233	1094	3581
234	1098	3575
235	1102	3570
236	1106	3561
237	1109	3552
238	1113	3546
239	1118	3541
240	1121	3532
241	1124	3522
242	1128	3516
243	1132	3510
244	1136	3501
245	1139	3491
246	1143	3485
247	1147	3479
248	1150	3471
249	1153	3461
250	1157	3454
251	1161	3448
252	1165	3440
253	1168	3430
254	1171	3422
255	1175	3417
256	1179	3409
257	1182	3400
258	1185	3391
259	1190	3386
260	1193	3379
261	1196	3370
262	1199	3361
263	1203	3355
264	1207	3347
265	1210	3339
266	1213	3330
267	1217	3325
268	1221	3319
269	1225	3312
270	1228	3303
271	1231	3296
272	1235	3290
273	1238	3281
274	1241	3272
275	1244	3263
276	1247	3256
277	1251	3249
278	1254	3241
279	1257	3232
280	1260	3223
281	1264	3219
282	1267	3211
283	1270	3203
284	1273	3194
285	1277	3188
286	1280	3181
287	1283	3172
288	1286	3164
289	1288	3155
290	1292	3149
291	1296	3143
292	1299	3135
293	1302	3127
294	1306	3121
295	1309	3115
296	1313	3108
297	1316	3101
298	1320	3095
299	1324	3090
300	1327	3083
301	1330	3075
302	1333	3067
303	1337	3061
304	1340	3054
305	1343	3046
306	1345	3038
307	1348	3030
308	1352	3023
309	1354	3015
310	1357	3007
311	1360	3000
312	1364	2994
313	1367	2987
314	1370	2980
315	1373	2973
316	1376	2966
317	1380	2961
318	1385	2956
319	1388	2949
320	1391	2942
321	1394	2937
322	1398	2930
323	1401	2923
324	1404	2916
325	1407	2909
326	1411	2905
327	1415	2899
328	1417	2892
329	1420	2884
330	1423	2877
331	1426	2870
332	1429	2863
333	1432	2856
334	1435	2848
335	1437	2841
336	1441	2835
337	1444	2828
338	1446	2821
339	1449	2814
340	1452	2807
341	1456	2802
342	1459	2795
343	1462	2789
344	1465	2782
345	1469	2776
346	1472	2770
347	1475	2763
348	1477	2756
349	1480	2750
350	1484	2744
351	1487	2738
352	1490	2731
353	1493	2724
354	1496	2718
355	1501	2715
356	1504	2709
357	1507	2703
358	1510	2696
359	1512	2689
360	1516	2683
361	1518	2676
362	1521	2669
363	1523	2662
364	1526	2656
365	1530	2650
366	1533	2644
367	1535	2637
368	1538	2631
369	1541	2625
370	1545	2620
371	1548	2613
372	1551	2607
373	1553	2601
374	1556	2594
375	1560	2589
376	1563	2583
377	1566	2577
378	1568	2570
379	1571	2564
380	1574	2558
381	1577	2552
382	1580	2546
383	1583	2539
384	1586	2533
385	1592	2532
386	1596	2528
387	1599	2523
388	1604	2519
389	1608	2515
390	1611	2509
391	1614	2504
392	1617	2498
393	1621	2493
394	1624	2488
395	1627	2483
396	1631	2477
397	1634	2472
398	1637	2467
399	1641	2461
400	1644	2456
401	1647	2450
402	1651	2446
403	1654	2441
404	1658	2436
405	1661	2430
406	1664	2425
407	1667	2419
408	1669	2413
409	1672	2406
410	1675	2400
411	1678	2395
412	1681	2390
413	1684	2384
414	1687	2378
415	1690	2372
416	1693	2367
417	1697	2363
418	1699	2357
419	1702	2351
420	1705	2345
421	1709	2340
422	1712	2335
423	1714	2329
424	1717	2323
425	1720	2318
426	1724	2313
427	1727	2308
428	1730	2302
429	1733	2297
430	1736	2291
431	1739	2287
432	1743	2283
433	1746	2278
434	1749	2272
435	1752	2267
436	1755	2262
437	1758	2256
438	1761	2250
439	1764	2245
440	1767	2240
441	1770	2235
442	1773	2230
443	1776	2224
444	1779	2219
445	1782	2214
446	1786	2209
447	1789	2205
448	1792	2200
449	1795	2194
450	1799	2190
451	1802	2184
452	1804	2179
453	1807	2173
454	1810	2168
455	1814	2164
456	1817	2159
457	1820	2153
458	1823	2148
459	1826	2143
460	1830	2140
461	1833	2135
462	1836	2130
463	1839	2124
464	1842	2119
465	1846	2115
466	1849	2111
467	1852	2106
468	1856	2101
469	1860	2097
470	1863	2092
471	1866	2087
472	1869	2082
473	1872	2077
474	1876	2074
475	1879	2069
476	1882	2064
477	1886	2059
478	1890	2055
479	1893	2051
480	1896	2046
481	1899	2041
482	1902	2036
483	1906	2032
484	1909	2027
485	1912	2022
486	1915	2018
487	1919	2014
488	1923	2009
489	1926	2004
490	1930	2000
491	1933	1996
492	1936	1991
493	1939	1986
494	1942	1981
495	1945	1976
496	1949	1973
497	1952	1968
498	1955	1962
499	1957	1957
500	1960	1952
501	1964	1949
502	1967	1944
503	1970	1939
504	1974	1935
505	1978	1931
506	1982	1927
507	1985	1922
508	1987	1917
509	1990	1912
510	1994	1908
511	1996	1903
512	1999	1898
513	2001	1892
514	2004	1887
515	2007	1882
516	2010	1878
517	2013	1873
518	2016	1868
519	2019	1864
520	2022	1859
521	2026	1855
522	2029	1850
523	2031	1845
524	2034	1841
525	2038	1837
526	2041	1832
527	2044	1827
528	2047	1823
529	2050	1818
530	2053	1814
531	2056	1809
532	2059	1804
533	2062	1799
534	2065	1795
535	2069	1791
536	2072	1786
537	2075	1781
538	2078	1777
539	2080	1772
540	2084	1768
541	2087	1763
542	2089	1758
543	2092	1754
544	2095	1749
545	2098	1744
546	2101	1740
547	2104	1735
548	2106	1730
549	2109	1726
550	2113	1722
551	2117	1718
552	2120	1713
553	2123	1709
554	2126	1704
555	2129	1700
556	2132	1696
557	2135	1691
558	2138	1687
559	2141	1682
560	2144	1678
561	2147	1673
562	2150	1669
563	2153	1664
564	2155	1659
565	2159	1656
566	2162	1651
567	2165	1646
568	2167	1642
569	2170	1637
570	2175	1634
571	2178	1630
572	2181	1625
573	2183	1620
574	2186	1616
575	2189	1611
576	2192	1607
577	2195	1602
578	2197	1598
579	2200	1593
580	2204	1589
581	2207	1585
582	2210	1580
583	2213	1576
584	2215	1572
585	2219	1568
586	2222	1563
587	2225	1559
588	2228	1555
589	2231	1550
590	2234	1546
591	2237	1542
592	2240	1537
593	2243	1533
594	2246	1528
595	2249	1524
596	2252	1520
597	2255	1516
598	2258	1511
599	2261	1507
600	2264	1503
601	2267	1499
602	2270	1494
603	2273	1490
604	2276	1486
605	2280	1482
606	2283	1478
607	2286	1474
608	2289	1470
609	2293	1466
610	2296	1462
611	2299	1457
612	2302	1453
613	2305	1449
614	2309	1445
615	2312	1441
616	2315	1437
617	2319	1433
618	2322	1429
619	2325	1425
620	2328	1421
621	2332	1417
622	2335	1413
623	2340	1410
624	2344	1406
625	2347	1402
626	2351	1398
627	2355	1395
628	2360	1392
629	2364	1388
630	2368	1384
631	2372	1381
632	2376	1377
633	2380	1374
634	2385	1370
635	2389	1367
636	2394	1364
637	2397	1360
638	2402	1357
639	2406	1353
640	2410	1349
641	2414	1346
642	2418	1342
643	2422	1338
644	2425	1335
645	2430	1331
646	2434	1328
647	2437	1324
648	2440	1320
649	2445	1316
650	2449	1313
651	2452	1309
652	2455	1305
653	2460	1301
654	2464	1298
655	2467	1294
656	2470	1289
657	2475	1286
658	2478	1282
659	2482	1278
660	2485	1274
661	2489	1271
662	2493	1267
663	2497	1263
664	2500	1259
665	2504	1255
666	2507	1252
667	2511	1248
668	2514	1243
669	2517	1240
670	2521	1236
671	2525	1232
672	2528	1228
673	2531	1224
674	2536	1221
675	2539	1217
676	2542	1213
677	2546	1209
678	2550	1205
679	2554	1201
680	2557	1198
681	2560	1194
682	2565	1190
683	2569	1186
684	2572	1182
685	2575	1179
686	2580	1175
687	2584	1172
688	2588	1168
689	2591	1164
690	2596	1160
691	2599	1156
692	2602	1152
693	2605	1148
694	2610	1145
695	2613	1141
696	2616	1137
697	2620	1133
698	2624	1130
699	2628	1126
700	2632	1122
701	2635	1118
702	2639	1115
703	2643	1111
704	2646	1107
705	2649	1103
706	2654	1100
707	2658	1096
708	2661	1092
709	2665	1088
710	2669	1085
711	2672	1081
712	2675	1077
713	2678	1072
714	2682	1069
715	2685	1065
716	2689	1061
717	2692	1057
718	2696	1053
719	2700	1050
720	2703	1046
721	2707	1042
722	2711	1038
723	2715	1035
724	2718	1031
725	2721	1027
726	2725	1023
727	2728	1019
728	2731	1015
729	2734	1011
730	2737	1007
731	2741	1003
732	2744	999
733	2747	995
734	2749	991
735	2752	987
736	2756	983
737	2760	979
738	2763	976
739	2766	971
740	2770	968
741	2773	964
742	2776	960
743	2779	956
744	2782	952
745	2786	948
746	2789	944
747	2793	940
748	2795	936
749	2798	932
750	2802	929
751	2804	924
752	2807	920
753	2809	916
754	2812	912
755	2816	909
756	2819	905
757	2822	901
758	2825	897
759	2828	893
760	2831	889
761	2834	885
762	2837	881
763	2840	877
764	2843	873
765	2846	869
766	2849	865
767	2852	861
768	2856	857
769	2860	854
770	2863	850
771	2866	846
772	2869	842
773	2872	838
774	2875	834
775	2878	830
776	2881	827
777	2884	823
778	2887	819
779	2891	815
780	2894	811
781	2897	807
782	2900	803
783	2903	799
784	2906	796
785	2909	792
786	2912	788
787	2915	784
788	2918	780
789	2922	776
790	2925	772
791	2927	768
792	2930	765
793	2933	761
794	2937	757
795	2941	753
796	2944	750
797	2947	746
798	2951	742
799	2954	738
800	2958	734
801	2961	731
802	2965	727
803	2969	723
804	2972	719
805	2975	716
806	2978	712
807	2982	708
808	2985	704
809	2988	701
810	2991	697
811	2996	693
812	3000	690
813	3004	686
814	3008	682
815	3012	679
816	3015	675
817	3019	671
818	3023	668
819	3028	664
820	3032	661
821	3036	657
822	3040	653
823	3045	650
824	3055	648
825	3065	645
826	3072	642
827	3077	639
828	3083	635
829	3096	634
830	3100	630
831	3105	626
832	3109	623
833	3114	619
834	3118	616
835	3122	612
836	3126	608
837	3130	605
838	3134	601
839	3137	597
840	3142	594
841	3146	590
842	3149	586
843	3153	582
844	3157	579
845	3160	575
846	3163	571
847	3166	567
848	3170	563
849	3174	560
850	3177	556
851	3180	552
852	3183	548
853	3188	545
854	3191	541
855	3194	537
856	3197	533
857	3202	529
858	3205	526
859	3208	522
860	3211	518
861	3215	514
862	3219	511
863	3222	507
864	3226	503
865	3231	499
866	3235	496
867	3238	492
868	3242	488
869	3246	485
870	3250	481
871	3253	477
872	3256	473
873	3260	470
874	3264	466
875	3267	462
876	3270	458
877	3274	455
878	3278	451
879	3282	447
880	3285	443
881	3289	440
882	3293	436
883	3296	432
884	3299	428
885	3302	424
886	3306	421
887	3310	417
888	3313	413
889	3316	409
890	3320	406
891	3324	402
892	3327	398
893	3330	394
894	3334	391
895	3338	387
896	3341	383
897	3345	379
898	3349	376
899	3353	372
900	3356	368
901	3359	365
902	3363	361
903	3367	357
904	3370	353
905	3374	350
906	3377	346
907	3381	342
908	3384	338
909	3387	334
910	3390	331
911	3394	327
912	3397	323
913	3400	319
914	3403	316
915	3406	312
916	3410	308
917	3413	304
918	3416	301
919	3420	297
920	3424	293
921	3427	289
922	3432	286
923	3435	282
924	3441	279
925	3445	275
926	3449	271
927	3454	268
928	3459	264
929	3463	260
930	3466	256
931	3471	253
932	3475	249
933	3478	245
934	3483	242
935	3487	238
936	3490	234
937	3494	230
938	3498	227
939	3502	223
940	3506	219
941	3509	216
942	3513	212
943	3518	208
944	3521	204
945	3526	201
946	3531	197
947	3534	193
948	3538	190
949	3542	186
950	3546	182
951	3550	179
952	3553	175
953	3557	171
954	3561	167
955	3564	164
956	3568	160
957	3571	156
958	3575	152
959	3579	149
960	3582	145
961	3586	141
962	3590	137
963	3594	134
964	3597	130
965	3601	126
966	3605	123
967	3609	119
968	3612	115
969	3615	111
970	3620	108
971	3623	104
972	3626	100
973	3630	96
974	3635	93
975	3639	89
976	3642	85
977	3646	82
978	3650	78
979	3654	74
980	3658	70
981	3662	67
982	3666	63
983	3669	59
984	3672	55
985	3676	52
986	3681	48
987	3684	44
988	3687	41
989	3692	37
990	3695	33
991	3698	29
992	3701	26
993	3705	22
994	3709	18
995	3713	14
996	3716	11
997	3720	7
998	3724	3
999	3727	0
